"id","name","phone","0","0.0","categories","0.00000000","0.00000000","address1","address2","zip","city","state"
"the-cuban-restaurant-and-bar-hoboken-2","The Cuban Restaurant and Bar","2017959899","393","4.0","Cuban, Latin American","-74.02960420","40.74102460","333 Washington St","","07030","Hoboken","NJ"
"morris-pk-bake-shop-bronx","Morris Pk Bake Shop","7188924968","14","4.5","Bakeries, Desserts","-73.85607700","40.84844700","1007 Morris Park Avenue","","10462","Bronx","NY"
"wendys-brooklyn-4","Wendy's","7182875005","17","2.0","Fast Food, Burgers","-73.96170400","40.66294200","469 Flatbush Ave","","11225","Brooklyn","NY"
"d-j-reynolds-new-york","D J Reynolds","2122452912","1","5.0","Bars","-73.98513560","40.76769190","351 W 57th St","","10019","New York","NY"
"riviera-caterers-brooklyn","Riviera Caterers","7183723031","17","3.5","Caterers","-73.98242000","40.57950500","2780 Stillwell Ave","","11224","Brooklyn","NY"
"tov-caterers-rego-park","Tov Caterers","7188967788","1","1.0","Caterers","-73.85932870","40.73172790","9722 63rd Road","","11374","Rego Park","NY"
"brunos-on-the-boulevard-jackson-heights","Bruno's On the Boulevard","7183350505","5","4.5","Caterers","-73.88038270","40.76431240","8825 Astoria Blvd","","11369","Jackson Heights","NY"
"kosher-island-glatt-kosher-take-home-food-staten-island","Kosher Island Glatt Kosher Take Home Food","7186985800","2","4.5","Meat Shops, Caterers","-74.13772860","40.61195720","2206 Victory Boulevard","","10314","Staten Island","NY"
"wilkens-ii-deli-brooklyn","Wilkens II Deli","7184443838","15","3.5","Delis","-73.90685060","40.61990340","7114 Ave U","","11234","Brooklyn","NY"
"taste-the-tropics-brooklyn","Taste the Tropics","7188560821","11","4.5","Ice Cream & Frozen Yogurt","-73.94826090","40.64082710","1839 Nostrand Ave","","11226","Brooklyn","NY"
"may-may-restaurant-brooklyn","May May Restaurant","7182354485","1","1.0","Chinese","-73.87119400","40.67309750","1269 Sutter Ave","","11208","Brooklyn","NY"
"seuda-foods-brooklyn","Seuda Foods","7183751500","1","4.0","Caterers","-73.96541100","40.60647190","705 Kings Hwy","","11223","Brooklyn","NY"
"carvel-brooklyn-3","Carvel","7184389501","9","3.5","Ice Cream & Frozen Yogurt","-73.97822040","40.64352540","203 Church Ave","","11218","Brooklyn","NY"
"carvel-glen-oaks","Carvel","7183430392","7","4.5","Ice Cream & Frozen Yogurt","-73.70073650","40.73895600","26515 Hillside Ave","","11004","Glen Oaks","NY"
"nordic-delicacies-brooklyn","Nordic Delicacies","7187481874","11","4.5","Delis","-74.02595670","40.63536740","6909 3rd Ave","","11209","Brooklyn","NY"
"the-movable-feast-brooklyn","The Movable Feast","7189652900","8","4.0","Caterers","-73.98292390","40.65807530","284 Prospect Park W","","11215","Brooklyn","NY"
"sals-deli-college-point","Sal's Deli","7186619498","3","4.5","Delis, Sandwiches","-73.83929700","40.78147000","12908 20th Ave","","11356","College Point","NY"
"bullys-new-york-318","Bully's","2122549755","90","3.0","Delis","-73.99253060","40.73093460","759 Broadway","","10003","New York","NY"
"steve-chus-deli-and-grocery-astoria","Steve Chu's Deli & Grocery","7187268888","1","5.0","Delis","-73.94024740","40.76232880","3406 10th St","","11106","Astoria","NY"
"harriets-kitchen-new-york","Harriet's Kitchen","2127210045","74","3.0","American (Traditional), Burgers","-73.97611200","40.78671400","502 Amsterdam Ave","","10024","New York","NY"
"white-castle-brooklyn-7","White Castle","7188578132","17","2.5","Fast Food","-73.96348760","40.69400010","531 Myrtle Ave","","11205","Brooklyn","NY"
"ho-mei-corona","Ho Mei","7187796903","1","5.0","Restaurants","-73.86423490","40.75356000","10305 37th Avenue","","11368","Corona","NY"
"downtown-deli-new-york","Downtown Deli","2122332911","14","3.0","Delis","-74.00892690","40.71335330","27 Park Pl","","10007","New York","NY"
"carvel-bronx-3","Carvel","7186526827","2","3.0","Ice Cream & Frozen Yogurt","-73.84856870","40.89037810","1006 E 233rd St","","10466","Bronx","NY"
"dunkin-donuts-inc-brooklyn","Dunkin Donuts Inc","7186252068","7","2.0","Donuts","-73.99149500","40.69227300","56 Court St","","11201","Brooklyn","NY"
"mejlander-and-mulgannon-brooklyn","Mejlander & Mulgannon","7182386666","15","4.0","Delis, Cupcakes","-74.02284490","40.62818150","7615 5th Ave","","11209","Brooklyn","NY"
"olives-new-york-3","Olive's","2129410111","157","3.5","Sandwiches","-73.99980420","40.72512560","120 Prince St","","10012","New York","NY"
"lexler-deli-new-york","Lexler Deli","2126870820","10","4.0","Delis","-73.97548280","40.75216620","405 Lexington Ave","","10017","New York","NY"
"bagels-and-buns-staten-island","Bagels & Buns","7187611900","14","4.5","Bagels, Bakeries, Coffee & Tea","-74.14593320","40.61037140","2491 Victory Blvd","","10314","Staten Island","NY"
"p-and-c-bagels-middle-village","P & C Bagels","7183268510","28","4.0","Bagels","-73.87402170","40.71350150","7905 Metropolitan Ave","","11379","Middle Village","NY"
"lorenzo-and-marias-kitchen-new-york","Lorenzo & Marias Kitchen","2127941080","13","2.0","Food, Restaurants","-73.95214680","40.77664120","1418 3rd Ave Frnt","","10028","New York","NY"
"dominos-pizza-new-york-8","Domino's Pizza","2125450200","11","2.5","Pizza, Chicken Wings, Sandwiches","-73.97914580","40.74432800","464 3rd Ave","","10016","New York","NY"
"sonnys-heros-brooklyn","Sonny's Heros","7184859810","9","5.0","Caterers","-73.90758600","40.64387390","1031 E 92nd Street","","11236","Brooklyn","NY"
"carvel-staten-island-4","Carvel","7188167807","3","2.0","Ice Cream & Frozen Yogurt","-74.07964360","40.59878340","1111 Hylan Blvd","","10305","Staten Island","NY"
"dominos-pizza-new-york-15","Domino's Pizza","2125010200","19","2.0","Pizza, Chicken Wings, Sandwiches","-73.98068540","40.77785890","148 W 72nd St","","10023","New York","NY"
"miss-mamies-spoonbread-too-new-york","Miss Mamie's Spoonbread Too","2128656744","297","3.0","Southern, Barbeque","-73.96089210","40.80144030","366 W 110th St","","10025","New York","NY"
"kosher-bagel-hole-brooklyn-2","Kosher Bagel Hole","7182584150","7","3.5","Bagels, Breakfast & Brunch, Sandwiches","-73.96151320","40.62532680","1423 Ave J","","11230","Brooklyn","NY"
"plaza-bagel-and-deli-corp-staten-island","Plaza Bagel & Deli Corp","7183513906","8","5.0","Delis","-74.11789490","40.57349060","73 New Dorp Plz","","10306","Staten Island","NY"
"happy-garden-bronx-3","Happy Garden","7182955588","2","4.0","Chinese","-73.89372160","40.86527270","277 E Kingsbridge Rd","","10458","Bronx","NY"
"b-and-m-hot-bagels-and-grocery-staten-island","B & M Hot Bagels & Grocery","7189668445","2","2.5","Grocery","-74.15230970","40.55643160","203 Giffords Ln","","10308","Staten Island","NY"
"philadelphia-grille-brooklyn","Philadelphia Grille","7182380747","23","4.0","American (Traditional)","-74.03400480","40.61270770","10004 4th Ave","","11209","Brooklyn","NY"
"peter-luger-steak-house-brooklyn","Peter Luger Steak House","7183877400","2703","4.0","Steakhouses","-73.96252130","40.70980350","178 Broadway","","11211","Brooklyn","NY"
"metropolitan-club-new-york","Metropolitan Club","2128387400","16","4.0","Nightlife","-73.97166040","40.76483200","1 E 60th St","","10022","New York","NY"
"the-palm-new-york","The Palm","2126872953","219","3.5","Steakhouses, Seafood","-73.97120000","40.75170300","837 2nd Ave","","10017","New York","NY"
"21-club-new-york","21 Club","2125827200","333","3.5","American (Traditional), Venues & Event Spaces, Diners","-73.97749180","40.76045190","21 W 52nd St","","10019","New York","NY"
"old-town-bar-and-restaurant-new-york","Old Town Bar & Restaurant","2125296732","236","3.5","American (Traditional), Bars","-73.98918780","40.73756380","45 E 18th St","","10003","New York","NY"
"sevilla-restaurant-and-bar-new-york","Sevilla Restaurant & Bar","2129293189","210","3.5","Spanish, Basque","-74.00313190","40.73488180","62 Charles St","","10014","New York","NY"
"gottscheer-hall-ridgewood","Gottscheer Hall","7183663030","24","4.5","Caterers, German, Pubs","-73.90566780","40.70668980","657 Fairview Ave","","11385","Ridgewood","NY"
"vazacs-horseshoe-bar-new-york","Vazacs Horseshoe Bar","2126776742","125","3.5","Arcades, Dive Bars","-73.98146000","40.72500670","108 Ave B","Ste 1","10009","New York","NY"
"bens-best-rego-park-2","Bens Best","7188971700","173","4.0","Delis, Kosher","-73.86137150","40.72937620","96-40 Queens Blvd","","11374","Rego Park","NY"
"the-art-students-league-of-new-york-new-york","The Art Students League of New York","2122474510","17","4.5","Art Schools, Art Galleries, Art Classes","-73.98056790","40.76594360","215 W 57th St","","10019","New York","NY"
"donohues-steak-house-new-york","Donohue's Steak House","2127440938","25","4.0","Steakhouses","-73.96553100","40.76543100","845 Lexington Ave","","10065","New York","NY"
"tout-va-bien-new-york","Tout Va Bien","2122650190","193","3.5","French","-73.98621900","40.76340600","311 W 51st St","","10019","New York","NY"
"juniors-restaurant-brooklyn","Junior's Restaurant","7188525257","841","3.5","Bakeries, American (Traditional), Desserts","-73.98189180","40.69012110","386 Flatbush Ave Extension","","11238","Brooklyn","NY"
"marchis-restaurant-new-york","Marchi's Restaurant","2126792494","16","3.0","Italian","-73.97755520","40.74320160","251 E 31st St","","10016","New York","NY"
"towne-cafe-brooklyn","Towne Cafe","7186469827","1","4.0","Bars","-73.95435260","40.58790380","2602 E 15th St","","11235","Brooklyn","NY"
"old-homestead-steak-house-new-york","Old Homestead Steak House","2122429040","483","3.5","Steakhouses","-74.00475800","40.74120700","56 9th Ave","","10011","New York","NY"
"new-park-pizzeria-howard-beach","New Park Pizzeria","7186413082","251","4.0","Pizza","-73.84299890","40.65712220","15671 Crossbay Blvd","","11414","Howard Beach","NY"
"douglaston-club-little-neck","Douglaston Club","7182293900","2","3.5","","-73.75132300","40.77632700","W Drive & Manor Road","","11362","Little Neck","NY"
"serendipity-3-new-york","Serendipity 3","2128383531","2296","3.0","Desserts, American (New)","-73.96485800","40.76189900","225 E 60th St","","10022","New York","NY"
"melody-lanes-brooklyn","Melody Lanes","7188322695","97","3.5","Bowling","-74.00294400","40.65277900","461 37th St","","11232","Brooklyn","NY"
"rizzos-fine-pizza-astoria","Rizzo's Fine Pizza","7187219862","354","4.0","Pizza","-73.91510960","40.76337700","3013 Steinway St","","11103","Astoria","NY"
"white-horse-tavern-new-york","White Horse Tavern","2129893956","239","2.5","Pubs, Burgers","-74.00619500","40.73566300","567 Hudson St","","10014","New York","NY"
"the-crystal-room-staten-island","The Crystal Room","7184478926","6","4.5","Caterers","-74.07073630","40.59321570","67 Olympia Blvd","","10305","Staten Island","NY"
"labetti-post-staten-island","Labetti Post","7184429312","1","5.0","Caterers, Venues & Event Spaces","-74.07444320","40.60969140","390 Hylan Boulevard","","10305","Staten Island","NY"
"shell-lanes-brooklyn","Shell Lanes","7183366700","39","3.5","Bowling","-73.97276380","40.58885300","1 Bouck Ct","","11223","Brooklyn","NY"
"forlinis-restaurant-new-york","Forlini's Restaurant","2123496779","85","4.0","Italian","-73.99950490","40.71692240","93 Baxter St","","10013","New York","NY"
"corner-bistro-new-york","Corner Bistro","2122429502","1177","4.0","Burgers, Bars","-74.00378230","40.73801220","331 W 4th St","","10014","New York","NY"
"nostrand-donut-shop-brooklyn","Nostrand Donut Shop","7188263008","15","4.0","Bakeries","-73.94933740","40.65098230","1449 Nostrand Ave","","11226","Brooklyn","NY"
"dorrians-red-hand-new-york","Dorrian's Red Hand","2127726660","123","2.5","American (Traditional), Sports Bars, Burgers","-73.95244900","40.77632500","1616 2nd Ave","","10021","New York","NY"
"la-grenouille-new-york","La Grenouille","2127521495","213","4.5","French","-73.97557070","40.75967960","3 E 52nd St","","10022","New York","NY"
"como-pizza-new-york","Como Pizza","2129287867","37","4.0","Pizza","-73.93951820","40.84229450","4035 Broadway","","10032","New York","NY"
"keats-restaurant-new-york-4","Keats Restaurant","2126825490","72","3.0","American (Traditional), Karaoke, Bars","-73.97063700","40.75149500","842 2nd Ave","","10017","New York","NY"
"angelos-new-york-2","Angelo's","2129661277","218","3.5","Italian","-73.99730410","40.71886980","146 Mulberry St","","10013","New York","NY"
"panchitos-mexican-restaurant-and-cantina-new-york","Panchito's Mexican Restaurant & Cantina","2124735239","203","2.5","Mexican","-74.00099400","40.72985300","105 MacDougal St","","10012","New York","NY"
"colandrea-new-corner-restaurant-brooklyn-2","Colandrea New Corner Restaurant","7188330800","53","3.5","Italian, Seafood, American (Traditional)","-74.01660910","40.62847670","7201 8th Ave","","11228","Brooklyn","NY"
"arturos-new-york","Arturo's","2126773820","381","4.0","Pizza, Italian","-74.00033150","40.72748740","106 W Houston St","","10012","New York","NY"
"le-perigord-new-york","Le Perigord","2127556244","104","3.0","French","-73.96462070","40.75500690","405 E 52nd St","","10022","New York","NY"
"reynolds-cafe-new-york","Reynolds Cafe","2129238927","12","4.0","Bars","-73.93651080","40.84970770","4241 Broadway","","10033","New York","NY"
"spain-restaurant-new-york","Spain Restaurant","2129299580","113","3.5","Spanish","-73.99792140","40.73713440","113 W 13th St","","10011","New York","NY"
"palace-cafe-brooklyn","Palace Cafe","7183839848","35","4.0","Bars","-73.94464210","40.72539440","206 Nassau Ave","","11222","Brooklyn","NY"
"yankee-tavern-bronx","Yankee Tavern","7182926130","53","3.5","Sports Bars, Pubs","-73.92521110","40.82760110","72 E 161st St","","10451","Bronx","NY"
"the-donut-pub-new-york","The Donut Pub","2129290126","299","4.0","Bakeries, Donuts","-73.99987230","40.73863610","203 W 14th St","","10011","New York","NY"
"morans-chelsea-new-york","Moran's Chelsea","2126273030","86","3.5","American (New), American (Traditional)","-74.00566490","40.74523710","146 10th Ave","","10011","New York","NY"
"reben-luncheonette-brooklyn","Reben Luncheonette","7183887696","13","4.5","Latin American","-73.95900590","40.70901470","229 Havemeyer St","","11211","Brooklyn","NY"
"king-yum-fresh-meadows","King Yum","7183801918","69","3.5","Chinese, American (Traditional)","-73.78675650","40.72713120","18108 Union Tpke","","11366","Fresh Meadows","NY"
"jahns-jackson-heights","Jahn's","7186510700","81","3.5","Diners","-73.88500230","40.74942720","81-04 37th Ave","","11372","Jackson Heights","NY"
"j-and-v-pizzeria-brooklyn","J & V Pizzeria","7182322700","98","4.0","Pizza","-73.98968980","40.61995260","6322 18th Ave","","11204","Brooklyn","NY"
"joe-allen-new-york","Joe Allen","2125816464","171","4.0","American (Traditional)","-73.98913100","40.76003900","326 W 46th St","","10036","New York","NY"
"il-vagabondo-new-york","Il Vagabondo","2128329221","145","3.5","Italian","-73.96117870","40.76192260","351 E 62nd St","","10021","New York","NY"
"barbetta-new-york","Barbetta","2122469171","77","3.0","Italian, American (New)","-73.98894410","40.76043100","321 W 46th St","","10036","New York","NY"
"gargiulos-brooklyn","Gargiulo's Restaurant","7182664891","66","4.0","Italian","-73.98224100","40.57636600","2911 West 15th Street","","11224","Brooklyn","NY"
"patsys-italian-restaurant-new-york","Patsy's Italian Restaurant","2122473491","210","3.5","Italian","-73.98274180","40.76558270","236 W 56th St","","10019","New York","NY"
"park-side-restaurant-corona-2","Park Side Restaurant","7182719871","247","4.0","Italian","-73.85613200","40.74384100","107-01 Corona Ave","","11368","Corona","NY"
"nearys-new-york","Neary's","2127511434","22","3.5","American (New), Pubs","-73.96350600","40.75827300","358 E 57th St","","10022","New York","NY"
"ny-pizza-suprema-new-york","NY Pizza Suprema","2125948939","592","4.0","Pizza","-73.99532100","40.75020500","413 8th Ave","","10001","New York","NY"
"mcdwyers-pub-bronx","McDwyer's Pub","3474270519","1","1.0","Nightlife","-73.87786540","40.87243770","331 E 204th Street","","10467","Bronx","NY"
"mee-sum-new-york","Mee Sum","2123495260","7","3.0","Chinese","-73.99830000","40.71505100","26 Pell St","","10013","New York","NY"
"nancys-restaurant-floral-park","Nancy's Restaurant","7183434616","17","4.0","American (New)","-73.70894850","40.72778860","25541 Jericho Tpke","","11001","Floral Park","NY"
"hop-kee-new-york","Hop Kee","2129648365","471","3.5","Chinese","-73.99903370","40.71439540","21 Mott St","","10013","New York","NY"
"nancy-whiskey-pub-new-york","Nancy Whiskey Pub","2122269943","119","3.5","Dive Bars","-74.00492190","40.72069900","1 Lispenard St","","10013","New York","NY"
"margherita-pizza-jamaica","Margherita Pizza","7186575780","84","4.5","Pizza","-73.74621440","40.71577750","16304 Jamaica Ave","","11432","Jamaica","NY"
"healys-bar-and-grill-rockaway-park","Healy's Bar & Grill","7184749600","5","3.5","Pubs","-73.83006580","40.58133160","10807 Rockaway Beach Dr","","11694","Rockaway Park","NY"
"fifth-avenue-bingo-hall-brooklyn","Fifth Avenue Bingo Hall","7187881691","2","4.5","Social Clubs","-73.98586210","40.67017250","416 5th Ave","","11215","Brooklyn","NY"
"deninos-pizzeria-tavern-staten-island","Denino's Pizzeria Tavern","7184429401","259","4.0","Pizza","-74.14021050","40.63018930","524 Port Richmond Ave","","10302","Staten Island","NY"
"michaels-of-brooklyn-brooklyn","Michael's Of Brooklyn","7189987851","69","4.0","Italian","-73.94284900","40.60762560","2929 Avenue R","","11230","Brooklyn","NY"
"nannis-restaurant-new-york-2","Nanni's Restaurant","2126974161","49","3.5","Italian","-73.97370700","40.75353590","146 E 46th St","","10017","New York","NY"
"lenihans-jamaica","Lenihan's","7188469770","4","3.0","Bars","-73.82768800","40.69445200","11909 Atlantic Avenue","","11418","Jamaica","NY"
"killarney-rose-new-york","Killarney Rose","2124221486","85","3.5","Pubs","-74.00857820","40.70514630","127 Pearl St","","10005","New York","NY"
