id,name,phone,review_count,avg_rating,categories,longitude,latitude,address1,address2,zip,city,state
the-cuban-restaurant-and-bar-hoboken-2,The Cuban Restaurant and Bar,2017959899,393,4,"Cuban, Latin American",,,333 Washington St,,07030,Hoboken,NJ
morris-pk-bake-shop-bronx,Morris Pk Bake Shop,7188924968,14,4.5,"Bakeries, Desserts",,,1007 Morris Park Avenue,,10462,Bronx,NY
wendys-brooklyn-4,Wendy's,7182875005,17,2,"Fast Food, Burgers",,,469 Flatbush Ave,,11225,Brooklyn,NY
d-j-reynolds-new-york,D J Reynolds,2122452912,1,5,Bars,,,351 W 57th St,,10019,New York,NY
riviera-caterers-brooklyn,Riviera Caterers,7183723031,17,3.5,Caterers,,,2780 Stillwell Ave,,11224,Brooklyn,NY
tov-caterers-rego-park,Tov Caterers,7188967788,1,1,Caterers,,,9722 63rd Road,,11374,Rego Park,NY
brunos-on-the-boulevard-jackson-heights,Bruno's On the Boulevard,7183350505,5,4.5,Caterers,,,8825 Astoria Blvd,,11369,Jackson Heights,NY
kosher-island-glatt-kosher-take-home-food-staten-island,Kosher Island Glatt Kosher Take Home Food,7186985800,2,4.5,"Meat Shops, Caterers",,,2206 Victory Boulevard,,10314,Staten Island,NY
wilkens-ii-deli-brooklyn,Wilkens II Deli,7184443838,15,3.5,Delis,,,7114 Ave U,,11234,Brooklyn,NY
taste-the-tropics-brooklyn,Taste the Tropics,7188560821,11,4.5,Ice Cream & Frozen Yogurt,,,1839 Nostrand Ave,,11226,Brooklyn,NY
may-may-restaurant-brooklyn,May May Restaurant,7182354485,1,1,Chinese,,,1269 Sutter Ave,,11208,Brooklyn,NY
seuda-foods-brooklyn,Seuda Foods,7183751500,1,4,Caterers,,,705 Kings Hwy,,11223,Brooklyn,NY
carvel-brooklyn-3,Carvel,7184389501,9,3.5,Ice Cream & Frozen Yogurt,,,203 Church Ave,,11218,Brooklyn,NY
carvel-glen-oaks,Carvel,7183430392,7,4.5,Ice Cream & Frozen Yogurt,,,26515 Hillside Ave,,11004,Glen Oaks,NY
nordic-delicacies-brooklyn,Nordic Delicacies,7187481874,11,4.5,Delis,,,6909 3rd Ave,,11209,Brooklyn,NY
