id,name,phone,review_count,rating,display_address,postal_code,categories,longitude,latitude
the-cuban-restaurant-and-bar-hoboken-2,The Cuban Restaurant and Bar,2017959899,393,4,"333 Washington St, Hoboken, NJ 07030",07030,"Cuban, Latin American",-74.029457,40.74099
la-goulette-brooklyn,La Goulette,3476894126,104,4.5,"159 Grand St, Williamsburg - North Side, Brooklyn, NY 11249",11249,"Mediterranean, Middle Eastern, Halal",-73.961549,40.714844
taim-falafel-and-smoothie-bar-new-york-2,Taim Falafel and Smoothie Bar,2126911287,1053,4.5,"222 Waverly Pl, West Village, New York, NY 10014",10014,"Middle Eastern, Vegetarian, Sandwiches",-74.001871,40.736023
bergen-hill-brooklyn,Bergen Hill,7188585483,93,4.5,"387 Court St, Carroll Gardens, Brooklyn, NY 11231",11231,"Cocktail Bars, Seafood",-73.9969402,40.6801653
andrea-salumeria-jersey-city,Andrea Salumeria,2016531666,108,5,"247 Central Ave, Apt 3, Jersey City, NJ 07307",07307,Delis,-74.0513916,40.7435417
the-dead-rabbit-new-york,The Dead Rabbit,6464227906,296,4,"30 Water St, Financial District, New York, NY 10004",10004,"Bars, American (Traditional)",-74.011017,40.703297
pepe-rosso-social-new-york-2,Pepe Rosso Social,2122190019,109,4.5,"173 Mott St, Little Italy, New York, NY 10013",10013,Italian,-73.99613924,40.72006211
il-falco-long-island-city,Il Falco,7187070009,41,5,"21-50 44 Dr, Long Island City, Long Island City, NY 11101",11101,Italian,-73.9455719,40.7474709
calaca-bedford-stuyvesant,Calaca,7186220022,28,5,"139 Putnam Ave, Clinton Hill, Bedford-Stuyvesant, NY 11238",11238,Mexican,-73.95660684,40.6833145
15-fox-place-jersey-city,15 Fox Place,2013331476,40,5,"15 Fox Pl, Jersey City, NJ 07306",07306,Italian,-74.07251,40.733715
chefs-table-brooklyn,Chef's Table,7182430050,222,4.5,"Brooklyn Fare, 212 Schermerhorn St, Downtown Brooklyn, Brooklyn, NY 11217",11217,American (New),-73.985965,40.68869
the-saint-austere-brooklyn,The Saint Austere,7183880012,151,4.5,"613 Grand St, Williamsburg - North Side, Brooklyn, NY 11211",11211,"Tapas Bars, Italian",-73.9476182,40.7114604
mountain-province-brooklyn,Mountain Province,7183877030,56,5,"1 Meserole St, East Williamsburg, Brooklyn, NY 11211",11211,"Cafes, Bakeries, Coffee & Tea",-73.95037874,40.7075228
breakroom-new-york,Breakroom,2122272802,278,4.5,"83 Baxter St, Chinatown, New York, NY 10013",10013,"Burgers, Mexican",-73.99994401,40.71669072
despaña-new-york-2,Despaña,2122195050,292,4.5,"408 Broome St, SoHo, New York, NY 10013",10013,"Spanish, Basque, Grocery",-73.9977875,40.7210388
patacon-pisao-new-york-5,Patacon Pisao,6466785913,36,5,"139 Essex St, Lower East Side, New York, NY 10002",10002,"Venezuelan, Sandwiches",-73.987588,40.720379
little-collins-new-york,Little Collins,2123081969,175,4.5,"667 Lexington Ave, Midtown East, New York, NY 10022",10022,Cafes,-73.969711,40.75993
lot-2-brooklyn-2,Lot 2,7184995623,175,4.5,"687 6th Ave, South Slope, Brooklyn, NY 11215",11215,"American (New), Burgers",-73.9903107,40.6605911
la-cigogne-brooklyn,La Cigogne,7188585641,67,4.5,"215 Union St, Carroll Gardens, Brooklyn, NY 11231",11231,French,-73.999298,40.683487
home-made-brooklyn,home/made,3472234135,154,4,"293 Van Brunt St, Red Hook, Brooklyn, NY 11231",11231,"American (New), Breakfast & Brunch, Pizza",-74.0110092,40.6786804
brooklyn-ice-house-brooklyn,Brooklyn Ice House,7182221865,139,4.5,"318 Van Brunt St, Red Hook, Brooklyn, NY 11231",11231,"Barbeque, Pubs",-74.011099,40.67919
cafe-katja-new-york,Cafe Katja,2122199545,464,4.5,"79 Orchard St, Lower East Side, New York, NY 10002",10002,"German, Austrian",-73.99052002,40.71767628
pates-et-traditions-brooklyn,Pates Et Traditions,7183021878,501,4.5,"52 Havemeyer St, Williamsburg - North Side, Brooklyn, NY 11211",11211,French,-73.9547501,40.7148895
pylos-new-york,Pylos,2124730220,702,4.5,"128 E 7th St, East Village, New York, NY 10009",10009,Greek,-73.984138,40.72612
battersby-brooklyn,Battersby,7188528321,196,4.5,"255 Smith St, Cobble Hill, Brooklyn, NY 11231",11231,American (New),-73.99263,40.6830711
the-little-owl-new-york,The Little Owl,2127414695,869,4,"90 Bedford St, West Village, New York, NY 10014",10014,American (New),-74.005301,40.73238083
the-heath-new-york,The Heath,2125641662,96,4.5,"542 W 27th St, Chelsea, New York, NY 10001",10001,American (New),-74.0039815,40.75080377
heidis-house-new-york,Heidi's House,2122490069,255,4.5,"308 E 78th St, Upper East Side, New York, NY 10075",10075,Comfort Food,-73.955029,40.772189
the-halal-guys-new-york-2,The Halal Guys,3475271505,5730,4.5,"6th Ave & W 53rd St, Theater District, New York, NY 10019",10019,"Food Stands, Halal, Fast Food",-73.97922993,40.76175596
abc-kitchen-new-york,ABC Kitchen,2124755829,1564,4,"35 E 18th St, Flatiron, New York, NY 10003",10003,"American (New), French",-73.989708,40.737698
sergimmo-salumeria-new-york,Sergimmo Salumeria,2129674212,253,4.5,"456 9th Ave, Hell's Kitchen, New York, NY 10018",10018,Italian,-73.995498,40.754296
la-sirene-new-york,La Sirene,2129253061,1039,4.5,"558 Broome St, South Village, New York, NY 10013",10013,French,-74.00570869,40.72436422
morgan-fish-market-and-restaurant-jersey-city,Morgan Fish Market & Restaurant,2017922400,42,4.5,"2801 John F Kennedy Blvd, Jersey City, NJ 07306",07306,Seafood,-74.06773478,40.73156141
westville-new-york-3,Westville,2129242223,529,4,"246 W 18th St, Chelsea, New York, NY 10011",10011,American (New),-74.000069,40.741749
nosh-borough-astoria,nosh Borough,3478134677,62,4.5,"25-17 Astoria Blvd, Astoria, Astoria, NY 11102",11102,"American (Traditional), Comfort Food",-73.922427,40.771237
bondurants-new-york,Bondurants,2122491509,121,4.5,"303 E 85th St, Upper East Side, New York, NY 10028",10028,"Cocktail Bars, American (New), Gastropubs",-73.951854,40.777292
chicken-provence-new-york,Chicken Provence,2129220505,79,4.5,"154 E 39th St, Murray Hill, New York, NY 10016",10016,French,-73.9763381,40.7489198
